MÓDULO;CRITÉRIOS;AVISO / ERRO;NÚMERO;MENSAGEM;TABELA;NATUREZA REGRA;ENTIDADES
Tabelas Cadastrais;Se o menor número e ano da lei/ato (nrLeiAto e nrAnoLeiAto) do conjunto (idPessoa, cdEscopo = 1, nrVersao = 1) existir na tabela (ammLeiPlano) a regra deve exigir que a referida lei/ato seja declarada nos campos (idPessoa, nrLeiAto, nrAnoLeiAto, idEscopo = 1, nrAnoInicialAplicacao = 2010 e idTipoDocumento = 1) na tabela (LeiAto). PARTE 2. A regra deve verificar ainda se (dtLeiAto) informada na tabela (LeiAto) é = (dtLei) existente na tabela (ammLeiAto) para a lei/ato em questão.  Se algum dos itens mencionados não estiverem de acordo a mensagem deve ser executada.;ERRO;5000;Não foi declarada na tabela (LeiAto) a Lei/Ato nº xxxxx/xxxx de aprovação da Lei do Plano Plurianual - PPA, para o quadriênio - 2010/2013, OU a Lei  declarada possuí um dos seguintes campos diferentes da declaração feita no SIM-AM 2012  ou anteriores (cdEscopo, nrLeiAto, nrAnoLeiAto, dtLei, nrAnoInicialAplicacao <> 2010 ou idTipoDocumento <> 1). OBS: informar a Primeira Lei do PPA para o quadriênio, ou seja, a de aprovação.  ;LeiAto;Abertura do Exercício, exclusiva para 2013;Prefeitura
Tabelas Cadastrais;Se o menor número e ano da lei/ato (nrLeiAto e nrAnoLeiAto) do conjunto (idPessoa, cdEscopo = 4, nrVersao = 1) existir na tabela (ammLeiPlano) a regra deve exigir que a referida lei/ato seja declarada nos campos (idPessoa, nrLeiAto, nrAnoLeiAto, idEscopo = 4 e nrAnoInicialAplicacao = 2010) na tabela (LeiAto). PARTE 2. A regra deve verificar ainda se (dtLeiAto) informada na tabela (LeiAto) é = (dtLei) existente na tabela (ammLeiAto) para a lei/ato em questão.  Se algum dos itens mencionados não estiverem de acordo a mensagem deve ser executada.;ERRO;5001;Não foi declarada na tabela (LeiAto) a Resolução/Ato nº xxxxx/xxxx de aprovação do Plano Municipal de Saúde - PMS, para o quadriênio - 2010/2013, OU o ato declarado possuí um dos seguintes campos diferentes da declaração feita no SIM-AM 2012 ou anteriores (cdEscopo, nrLeiAto, nrAnoLeiAto, dtLei ou nrAnoInicialAplicacao <> 2010).  ;LeiAto;Abertura do Exercício, exclusiva para 2013;Prefeitura
Tabelas Cadastrais;Se o menor número e ano da lei/ato (nrLeiAto e nrAnoLeiAto) do conjunto (idPessoa, cdEscopo = 5, nrVersao = 1) existir na tabela (ammLeiPlano) a regra deve exigir que a referida lei/ato seja declarada nos campos (idPessoa, nrLeiAto, nrAnoLeiAto, idEscopo = 5 e nrAnoInicialAplicacao = 2010) na tabela (LeiAto). PARTE 2. A regra deve verificar ainda se (dtLeiAto) informada na tabela (LeiAto) é = (dtLei) existente na tabela (ammLeiAto) para a lei/ato em questão.  Se algum dos itens mencionados não estiverem de acordo a mensagem deve ser executada.;ERRO;5002;Não foi declarada na tabela (LeiAto) a Resolução/Ato nº xxxxx/xxxx de aprovação do Plano de Ações dos Direitos da Criança e do Adolescente - ECA/FMDCA, para o quadriênio - 2010/2013, OU o ato declarado possuí um dos seguintes campos diferentes da declaração feita no SIM-AM 2012 ou anteriores (cdEscopo, nrLeiAto, nrAnoLeiAto, dtLei ou nrAnoInicialAplicacao <> 2010).  ;LeiAto;Abertura do Exercício, exclusiva para 2013;Prefeitura
Planejamento e Orçamento;Se o conjunto (idPessoa, cdEscopo = 1, nrVersao >, cdPrograma, nrAnoInclusao = 2013 e dtCancelamento = is null) existir na tabela (ammPlanoPrograma) PARTE 2. a regra deve exigir que os dados dos campos (idPessoa e cdPrograma)  sejam declarados nos campos (idPessoa e cdPrograma) da tabela (Programa). ;ERRO;5003;O Programa nº xxxx do Escopo = 1 - PPA, existe na última versão do SIM-AM 2012 e não foi declarado na tabela (Programa).;Programa;Abertura do Exercício, exclusiva para 2013;Prefeitura
Planejamento e Orçamento;PARTE 1. Se o conjunto (idPessoa, cdEscopo = 4,  nrVersao >, cdPrograma, nrAnoInclusao = 2013  e dtCancelamento = is null) existir na tabela (ammPlanoPrograma)  PARTE 2. a regra deve exigir que os dados dos campos (idPessoa e cdPrograma)  sejam declarados nos campos (idPessoa e cdPrograma) da tabela (Programa). ;ERRO;5004;O Programa nº xxxx do Escopo = 4 - Plano Municipal de Saúde - PMS, existe na última versão do SIM-AM 2012 e não foi declarado na tabela (Programa).;Programa;Abertura do Exercício, exclusiva para 2013;Prefeitura
Planejamento e Orçamento;PARTE 1. Se o conjunto (idPessoa, cdEscopo = 5,  nrVersao >, cdPrograma, nrAnoInclusao = 2013 e  dtCancelamento = is null) existir na tabela (ammPlanoPrograma) PARTE 2. a regra deve exigir que os dados dos campos (idPessoa e cdPrograma)  sejam declarados nos campos (idPessoa e cdPrograma) da tabela (Programa). ;ERRO;5005;O Programa nº xxxx do Escopo = 5 - Plano Municipal dos Direitos da Criança e do Adolescente - ECA/FMDA, existe na última versão do SIM-AM 2012 e não foi declarado na tabela (Programa).;Programa;Abertura do Exercício, exclusiva para 2013;Prefeitura
Planejamento e Orçamento;PARTE 1. Se (cdPrograma) declarado na tabela (Programa)  para o conjunto (idPessoa, cdPrograma e cdControleLeiAto com idEscopo = 1 e nrAnoInicialAplicacao = 2010 originários da tabela LeiAto) for <> PARTE 2.  de (cdPrograma) da seguinte combinação   (idPessoa, cdEscopo = 1,  nrVersao >, cdPrograma e nrAnoInclusao = 2013) da tabela (ammPlanoPrograma) a mensagem deve ser executada.;ERRO;5006;O Programa nº xxxx do Controle Lei Ato nº xxxxxx, foi declarado na tabela (Programa) e não existe na última versão do Plano Plurianual - PPA do SIM-AM 2012.;Programa;Abertura do Exercício, exclusiva para 2013;Prefeitura
Planejamento e Orçamento;PARTE 1. Se (cdPrograma) declarado na tabela (Programa)  para o conjunto (idPessoa, cdPrograma e cdControleLeiAto com idEscopo = 4 e nrAnoInicialAplicacao = 2010 originário da tabela LeiAto) for <> PARTE 2.  de (cdPrograma) da seguinte combinação   (idPessoa, cdEscopo = 4,  nrVersao >, cdPrograma e nrAnoInclusao = 2013) da tabela (ammPlanoPrograma) a mensagem deve ser executada. ;ERRO;5007;O Programa nº xxxx do Controle Lei Ato nº xxxxxx, foi declarado na tabela (Programa) e não existe na última versão do Plano Municipal de Saúde - PMS do SIM-AM 2012.;Programa;Abertura do Exercício, exclusiva para 2013;Prefeitura
Planejamento e Orçamento;Se (cdPrograma) declarado na tabela (Programa)  para o conjunto (idPessoa, cdPrograma e cdControleLeiAto com idEscopo = 5 e nrAnoInicialAplicacao = 2010 originário da tabela LeiAto) for <>  PARTE 2. de (cdPrograma) da seguinte combinação   (idPessoa, cdEscopo = 5,  nrVersao >, cdPrograma e nrAnoInclusao = 2013) da tabela (ammPlanoPrograma) a mensagem deve ser executada. ;ERRO;5008;O Programa nº xxxx do Controle Lei Ato nº xxxxxx, foi declarado na tabela (Programa) e não existe na última versão do Plano de Ações dos Direitos da Criança e do Adolescente - ECA/FMDCA do SIM-AM 2012.;Programa;Abertura do Exercício, exclusiva para 2013;Prefeitura
Planejamento e Orçamento;PARTE 1. Se o conjunto (idPessoa, cdPrograma e cdControleLeiAto) existir na tabela (Programa) PARTE 2. e não existir nos campos (idPessoa, cdPrograma e cdControleLeiAtoPrograma) da tabela (MovimentoPrograma) com (idTipoMovimento) = 1 a mensagem deve ser executada.;ERRO;5009;O (cdPrograma) nº 9999  do (cdControleLeiAto) nº xxxxxxx foi declarado na tabela (Programa) e não existe na tabela (MovimentoPrograma) com (idTipoMovimento) = 1 - Inclusão.;MovimentoPrograma;Movimento Mensal Normal e exclusivo para de Abertura 2013;Prefeitura
